upload_id,timestamp_utc,timestamp_wib,session_id,original_filename,stored_filename,file_path,file_size_bytes,mime_type,image_width,image_height,upload_status,created_at
b36234ca-3730-4975-9952-05bdced10cf8,2026-04-19T05:50:00+0000,2026-04-19T12:50:00+07:00,97381e8b-d769-4cb8-a092-036e4d0d2680,2fb06d3e-accd-4fb1-becf-893dba5b3796.jpg,cloud_20260419_125000.jpg,static/uploads\cloud_20260419_125000.jpg,18278,image/jpg,400,328,pending,2026-04-19 12:50:00
08147418-ac6a-48a7-9152-9164111d38a8,2026-04-19T06:35:09+0000,2026-04-19T13:35:09+07:00,7c41f09f-3929-4295-9f90-42a2e9a391c2,Screenshot 2026-04-19 090452.png,cloud_20260419_133509.png,static/uploads\cloud_20260419_133509.png,262985,image/png,568,376,pending,2026-04-19 13:35:09
664b7b87-8580-4178-babe-9a0e9855af95,2026-04-24T17:44:37+0000,2026-04-25T00:44:37+07:00,7c56ef9b-4523-44df-90b2-b86201d7c078,Screenshot 2026-04-19 090410.png,cloud_20260425_004437.png,static/uploads\cloud_20260425_004437.png,272906,image/png,568,373,pending,2026-04-25 00:44:37
cdcb73bc-9491-496e-af63-b8d94486535a,2026-05-15T05:58:34+0000,2026-05-15T12:58:34+07:00,f5601e69-60eb-4118-9680-cf9de1845441,6cf8f9a9-6942-4352-8058-0cb5d58e362f.jpg,cloud_20260515_125834.jpg,static/uploads\cloud_20260515_125834.jpg,15807,image/jpg,400,300,pending,2026-05-15 12:58:34
17a9ed09-7c79-4142-ac8d-5820c90aa257,2026-05-15T06:32:53+0000,2026-05-15T13:32:53+07:00,fd14b4b8-b13b-470c-a801-b7787b94b28b,4e1973df-afdf-48c2-bcca-e44946cc848d.jpg,cloud_20260515_133253.jpg,static/uploads\cloud_20260515_133253.jpg,8437,image/jpg,400,266,pending,2026-05-15 13:32:53
58f316cb-0c85-4284-af2e-56cf6aa6a9b2,2026-05-15T06:40:41+0000,2026-05-15T13:40:41+07:00,57aebe2c-4236-41b3-88c6-86293656ced9,5b17f931-bf42-40e4-a9e5-f5dad8154f00.jpg,cloud_20260515_134041.jpg,static/uploads\cloud_20260515_134041.jpg,323435,image/jpg,2000,1548,pending,2026-05-15 13:40:41
deb67024-a5f1-45c7-9365-0b0175447cdf,2026-05-15T06:54:26+0000,2026-05-15T13:54:26+07:00,b79e5adc-1989-4782-8383-eb38d901b1d8,0e9e4452-856f-4c63-9007-5213f7fd9daf.JPG,cloud_20260515_135426.jpg,static/uploads\cloud_20260515_135426.jpg,7438,image/jpg,300,400,pending,2026-05-15 13:54:26
97484145-9c99-470c-8538-1906ca3ae5a1,2026-05-15T07:03:32+0000,2026-05-15T14:03:32+07:00,5a1d7da9-c76b-4026-bbc9-1d1401aa4a09,0cdbee01-0fc0-435f-948e-2393b4725933.jpeg,cloud_20260515_140332.jpeg,static/uploads\cloud_20260515_140332.jpeg,111783,image/jpeg,960,640,pending,2026-05-15 14:03:32
049bd95f-ebff-4d9f-a628-99c58faa3b17,2026-05-24T04:14:16+0000,2026-05-24T11:14:16+07:00,0b64704d-a422-45d7-88b5-4c66abb48b57,WhatsApp Image 2026-04-11 at 13.38.15.jpeg,cloud_20260524_111416.jpeg,static/uploads\cloud_20260524_111416.jpeg,258096,image/jpeg,1500,1500,pending,2026-05-24 11:14:16
92cdef63-dfc9-464d-b217-510151c7bcc2,2026-05-24T04:17:01+0000,2026-05-24T11:17:01+07:00,69c2ae8b-2499-49fd-8a46-ee0a855d218e,04649cdcf0f8bc537233cdb724fee004.jpg,cloud_20260524_111701.jpg,static/uploads\cloud_20260524_111701.jpg,5622,image/jpg,256,256,pending,2026-05-24 11:17:01
f5386e11-fe45-4b27-b606-60c69545fdca,2026-05-24T06:34:11+0000,2026-05-24T13:34:11+07:00,0dd964a5-35e7-4bb3-b7e7-63fd595e6cab,WhatsApp Image 2026-04-11 at 13.38.13.jpeg,cloud_20260524_133411.jpeg,static/uploads\cloud_20260524_133411.jpeg,114910,image/jpeg,1500,1500,pending,2026-05-24 13:34:11
78046e35-c349-4ced-9824-6e0986b5293b,2026-07-25T16:47:04+0000,2026-07-25T23:47:04+07:00,f7def388-2cb0-4a75-a1a0-276e930d80cf,WhatsApp Image 2026-04-11 at 13.38.13.jpeg,cloud_20260725_234704.jpeg,static/uploads\cloud_20260725_234704.jpeg,114910,image/jpeg,1500,1500,pending,2026-07-25 23:47:04
dec3f7e4-03d8-4a9c-9cf0-efa6cc0d1d6d,2026-08-07T07:25:19+0000,2026-08-07T14:25:19+07:00,792f1dd7-5c23-498e-9257-bda7c0fb82f2,awan apakah ini-2.png,cloud_20260807_142519.png,static/uploads\cloud_20260807_142519.png,941695,image/png,1243,832,pending,2026-08-07 14:25:19
884bd50c-a146-4b0f-babc-e57bf0777817,2026-08-07T18:56:52+0000,2026-08-08T01:56:52+07:00,42b4052f-fe9e-4668-8d9f-8ab1951ddfa8,awan apakah ini-4.png,cloud_20260808_015652.png,static/uploads\cloud_20260808_015652.png,1698928,image/png,1216,823,pending,2026-08-08 01:56:52
e0bba994-b831-4df4-abfb-4fe7fbb6c341,2026-08-11T05:57:34+0000,2026-08-11T12:57:34+07:00,30f9ba8d-ec9a-40bb-bead-62af970063d8,awan apakah ini-4.png,cloud_20260811_125734.png,static/uploads\cloud_20260811_125734.png,1698928,image/png,1216,823,pending,2026-08-11 12:57:34
36f8cdb2-b9de-400b-ac3d-dc314823618b,2026-08-14T06:16:24+0000,2026-08-14T13:16:24+07:00,1425029f-9979-48fb-af3f-927f9587f253,awan apakah ini-4.png,cloud_20260814_131624.png,static/uploads\cloud_20260814_131624.png,1698928,image/png,1216,823,pending,2026-08-14 13:16:24
86bc004e-ec3a-4b33-b0a2-f3cc4cee3992,2026-08-14T11:14:40+0000,2026-08-14T18:14:40+07:00,6d2841c7-74fd-4852-b6d0-c3cd0f01c4e0,awan apakah ini-1.png,cloud_20260814_181440.png,static/uploads\cloud_20260814_181440.png,683518,image/png,1245,831,pending,2026-08-14 18:14:40
85a1da70-b2fd-4143-93a5-b3b7836d304a,2026-08-14T11:15:02+0000,2026-08-14T18:15:02+07:00,40cb013d-d96e-4f2d-8e3c-2056564bf7b2,awan apakah ini-7.png,cloud_20260814_181502.png,static/uploads\cloud_20260814_181502.png,1086662,image/png,1228,771,pending,2026-08-14 18:15:02
